大分類,中分類,項番,要件,回答,URL,証跡テキスト原文,日本語訳,ページ番号,備考
アクセス制御,認証,1.1.1,ユーザー認証機能を有すること,ユーザー名とパスワードによる認証機能を標準搭載している,https://docs.example.com/en/manual/auth/overview,"[https://docs.example.com/en/manual/auth/overview|Users are required to authenticate with a valid username and password before accessing the system.]","[https://docs.example.com/en/manual/auth/overview|ユーザーはシステムにアクセスする前に、有効なユーザー名とパスワードで認証する必要があります。]",,
アクセス制御,認証,1.1.2,多要素認証に対応していること,TOTPベースの二要素認証に対応している,https://docs.example.com/en/manual/auth/2fa,"[https://docs.example.com/en/manual/auth/2fa|Two-factor authentication using TOTP (Time-based One-Time Password) can be configured for each user account.]","[https://docs.example.com/en/manual/auth/2fa|TOTP（時間ベースのワンタイムパスワード）を使用した二要素認証を各ユーザーアカウントに設定できます。]",,
アクセス制御,権限管理,1.2.1,ロールベースのアクセス制御が可能であること,4種類のユーザーロールでアクセス制御を実現している,https://docs.example.com/en/manual/auth/roles,"[https://docs.example.com/en/manual/auth/roles|The system provides four predefined user roles: Guest, User, Admin, and Super Admin, each with a specific set of permissions.]","[https://docs.example.com/en/manual/auth/roles|システムは4つの定義済みユーザーロール（Guest、User、Admin、Super Admin）を提供し、それぞれに特定の権限セットが付与されています。]",,
アクセス制御,権限管理,1.2.2,管理者と一般ユーザーの権限を分離できること,ロールごとに操作可能な機能が厳密に分離されている,https://docs.example.com/en/manual/auth/roles,"[https://docs.example.com/en/manual/auth/roles|Administrative functions such as configuration changes and user management are restricted to Admin and Super Admin roles only.]","[https://docs.example.com/en/manual/auth/roles|設定変更やユーザー管理などの管理機能は、AdminおよびSuper Adminロールのみに制限されています。]",,
データ保護,暗号化,2.1.1,通信経路がTLS 1.2以上で暗号化されていること,Web UIおよびAPI通信はTLS 1.2/1.3で暗号化される,https://docs.example.com/en/manual/security/encryption,"[https://docs.example.com/en/manual/security/encryption|All communication between the web interface and the server is encrypted using TLS 1.2 or TLS 1.3.]","[https://docs.example.com/en/manual/security/encryption|Webインターフェースとサーバー間の全通信はTLS 1.2またはTLS 1.3で暗号化されます。]",,
データ保護,暗号化,2.1.2,保存データの暗号化に対応していること,データベースレベルでのAES-256暗号化をサポートしている,https://docs.example.com/en/manual/security/encryption,"[https://docs.example.com/en/manual/security/encryption|Sensitive data stored in the database can be encrypted at rest using AES-256 encryption.]","[https://docs.example.com/en/manual/security/encryption|データベースに保存される機密データはAES-256暗号化を使用して保存時に暗号化できます。]",,
データ保護,バックアップ,2.2.1,定期的な自動バックアップ機能を有すること,スケジュール設定による自動バックアップに対応している,https://docs.example-backup.com/en/guide/scheduled-backup,"[https://docs.example-backup.com/en/guide/scheduled-backup|Backup jobs can be scheduled to run automatically at specified intervals, including daily, weekly, and monthly options.]","[https://docs.example-backup.com/en/guide/scheduled-backup|バックアップジョブは、日次・週次・月次のオプションを含む指定間隔で自動実行するようスケジュール設定できます。]",,
データ保護,バックアップ,2.2.2,バックアップからの復元手順が文書化されていること,復元手順がドキュメントに記載されている,https://docs.example-backup.com/en/guide/restore-procedure,"[https://docs.example-backup.com/en/guide/restore-procedure|To restore from a backup, navigate to the Backup & Restore section, select the desired restore point, and click Restore.]","[https://docs.example-backup.com/en/guide/restore-procedure|バックアップから復元するには、「バックアップと復元」セクションに移動し、目的の復元ポイントを選択して「復元」をクリックします。]",,
監査,ログ,3.1.1,ユーザー操作の監査ログを記録できること,全ユーザー操作を監査ログとして記録する機能がある,https://docs.example.com/en/manual/audit/logging,"[https://docs.example.com/en/manual/audit/logging|The audit log records all user actions including login attempts, configuration changes, and data access events.]","[https://docs.example.com/en/manual/audit/logging|監査ログは、ログイン試行、設定変更、データアクセスイベントを含む全ユーザー操作を記録します。]",,
監査,ログ,3.1.2,ログの改ざん防止機能を有すること,監査ログは読み取り専用で改ざん防止されている,https://docs.example.com/en/manual/audit/logging,"[https://docs.example.com/en/manual/audit/logging|Audit logs are stored in a read-only format and cannot be modified or deleted by any user, including administrators.]","[https://docs.example.com/en/manual/audit/logging|監査ログは読み取り専用形式で保存され、管理者を含むいかなるユーザーも変更または削除できません。]",,
